网络,器件,功能脚,KiCad引脚号(待核对)
VIN,J1,DC005+,
VIN,J2,XT30+,
VIN,Q1,DRAIN,3
GND,J1,DC005-,
GND,J2,XT30-,
GND,J5,GND,
GND,U1,GND,18
GND,U2,GND,
GND,U3,GND,9
GND,J3,P2,
GND,J4,P2,
GND,J6,P3,
GND,J7,P3,
GND,J8,P3,
GND,C1,P2,
GND,C2,P2,
GND,C3,P2,
GND,C4,P2,
GND,C5,P2,
GND,C6,P2,
VM,Q1,SOURCE,2
VM,F2,P1,
VM,R10,P1,
VM_FUSED,F2,P2,
VM_FUSED,U1,VM,14
VM_FUSED,U3,VM,16
VM_FUSED,C1,P1,
VM_FUSED,U2,VIN,
5V,U2,VOUT,
5V,F1,P1,
5V,C5,P1,
5V,C6,P1,
5V,C2,P1,
5V,R11,P1,
5V_FUSED,F1,P2,
5V_FUSED,J6,P2,
5V_FUSED,J7,P2,
5V_FUSED,J8,P2,
3V3,J5,3V3,
3V3,U1,VCC,20
3V3,U3,VDD,10
3V3,R5,P1,
VGATE,Q1,GATE,1
VGATE,R1,P1,
VGATE,R2,P1,
VIN_S,R2,P2,
VIN_S,C3,P1,
M_AIN1,J5,GPIO42,
M_AIN1,U1,AIN1,21
M_AIN1,R6,P1,
M_AIN2,J5,GPIO41,
M_AIN2,U1,AIN2,22
M_AIN2,R7,P1,
M_PWMA,J5,GPIO40,
M_PWMA,U1,PWMA,23
M_BIN1,J5,GPIO39,
M_BIN1,U1,BIN1,17
M_BIN1,R8,P1,
M_BIN2,J5,GPIO38,
M_BIN2,U1,BIN2,16
M_BIN2,R9,P1,
M_PWMB,J5,GPIO21,
M_PWMB,U1,PWMB,15
M_STBY,J5,GPIO47,
M_STBY,U1,STBY,19
M_STBY,R5,P2,
MOTA+,U1,AO1,1
MOTA+,J3,P1,
MOTA-,U1,AO2,2
MOTA-,J3,P1B,
MOTB+,U1,BO1,11
MOTB+,J4,P1,
MOTB-,U1,BO2,12
MOTB-,J4,P1B,
SRV1_SIG,J5,GPIO14,
SRV1_SIG,J6,P1,
SRV2_SIG,J5,GPIO15,
SRV2_SIG,J7,P1,
SRV3_SIG,J5,GPIO17,
SRV3_SIG,J8,P1,
STP_STEP,J5,GPIO45,
STP_STEP,U3,STEP,7
STP_STEP,R3,P1,
STP_DIR,J5,GPIO46,
STP_DIR,U3,DIR,8
STP_DIR,R4,P1,
GND_PULL,R3,P2,
GND_PULL,R4,P2,
GND_PULL,R6,P2,
GND_PULL,R7,P2,
GND_PULL,R8,P2,
GND_PULL,R9,P2,
LED_VM,R10,P2,
LED_VM,D1,A,
LED_5V,R11,P2,
LED_5V,D2,A,
D1_K,D1,K,
D2_K,D2,K,
